function,offset,target addr,instruction,type
startup_64,0x31,0xffffffff810007b0,CALL 0xffffffff810007b0,direct call
startup_64,0x3b,0xffffffff831a3cf9,CALL 0xffffffff831a3cf9,direct call
startup_64,0x4b,,RETF,ret
secondary_startup_64,0x0,0xffffffff81000160,CALL 0xffffffff81000160,direct call
secondary_startup_64_no_verify,0x3a,0xffffffff81000260,CALL 0xffffffff81000260,direct call
FUN_ffffffff81000147,0x7,ctx->rax,"MOV RAX,qword ptr [0xffffffff830b8a70]",write other [TODO]
FUN_ffffffff81000147,0x11,,RETF,ret
verify_cpu,0xec,,RET,ret
verify_cpu,0xf0,,RET,ret
sev_verify_cbit,0x2e,0xffffffff82e5c808,"MOV qword ptr [0xffffffff82e5c808],RDX",write .data
sev_verify_cbit,0x5a,,RET,ret
vc_boot_ghcb,0x48,ctx->rax,CALL RAX,in-direct call
__startup_64,0x3a,ctx->rax,"MOV dword ptr [RAX],0x1",write other [TODO]
__startup_64,0x4d,ctx->rax,"MOV dword ptr [RAX],0x30",write other [TODO]
__startup_64,0x60,ctx->rax,"MOV dword ptr [RAX],0x200",write other [TODO]
__startup_64,0x73,ctx->rax,"MOV qword ptr [RAX],RBX",write other [TODO]
__startup_64,0x8d,ctx->rax,"MOV qword ptr [RAX],RBX",write other [TODO]
__startup_64,0xa7,ctx->rax,"MOV qword ptr [RAX],RBX",write other [TODO]
__startup_64,0x126,ctx->rax,"MOV qword ptr [RAX],R10",write other [TODO]
__startup_64,0x195,ctx->r14,"MOV dword ptr [R14],EAX",write other [TODO]
__startup_64,0x1b8,ctx->r14,"MOV dword ptr [R14],R15D",write other [TODO]
__startup_64,0x1e7,ctx->r12 + ctx->rcx * 0x8,"MOV qword ptr [R12 + RCX*0x8],RDX",write other [TODO]
__startup_64,0x1eb,ctx->r12 + ctx->rcx * 0x8 + 0x8,"MOV qword ptr [R12 + RCX*0x8 + 0x8],RDX",write other [TODO]
__startup_64,0x20b,ctx->r14 + ctx->rdx * 0x8,"MOV qword ptr [R14 + RDX*0x8],R12",write other [TODO]
__startup_64,0x219,ctx->r14 + ctx->rdx * 0x8,"MOV qword ptr [R14 + RDX*0x8],R12",write other [TODO]
__startup_64,0x247,ctx->r11 + ctx->rcx * 0x8,"MOV qword ptr [R11 + RCX*0x8],RDX",write other [TODO]
__startup_64,0x25e,ctx->r11 + ctx->rax * 0x8,"MOV qword ptr [R11 + RAX*0x8],RDX",write other [TODO]
__startup_64,0x2cd,ctx->r10 + ctx->rax * 0x8,"MOV qword ptr [R10 + RAX*0x8],RDX",write other [TODO]
__startup_64,0x32f,ctx->rcx,"MOV qword ptr [RCX],RAX",write other [TODO]
__startup_64,0x383,0xffffffff831a39a5,CALL 0xffffffff831a39a5,direct call
