File,Requests per Second,Transfer Rate
1005-test-100kb-c10.txt,39794.66,3895485.23
1005-test-100kb-c10.txt,38330.33,3752142.61
1005-test-100kb-c10.txt,39502.27,3866863.46
1005-test-100kb-c10.txt,38647.34,3783174.82
1005-test-100kb-c10.txt,38157.74,3735248.16
1005-test-100kb-c10.txt,38901.42,3808046.7
1005-test-100kb-c10.txt,39745.63,3890685.55
1005-test-100kb-c10.txt,30371.14,2973019.75
1005-test-100kb-c10.txt,32957.62,3226209.49
1005-test-100kb-c10.txt,37530.49,3673846.82
1005-test-100kb-c10.txt,38259.94,3745251.88
1005-test-100kb-c10.txt,36768.76,3599281.11
1005-test-100kb-c10.txt,37827.21,3702891.83
1005-test-100kb-c10.txt,29514.2,2889134.3
1005-test-100kb-c10.txt,36836.48,3605910.36
1005-test-100kb-c10.txt,37934.83,3713426.97
1005-test-100kb-c10.txt,38255.55,3744822.05
1005-test-100kb-c10.txt,39546.01,3871145.19
1005-test-100kb-c10.txt,38525.25,3771223.5
1005-test-100kb-c10.txt,37666.2,3687131.28
1005-test-1mb-c10.txt,6835.04,6676442.19
1005-test-1mb-c10.txt,6555.1,6403000.1
1005-test-1mb-c10.txt,6419.97,6271005.33
1005-test-1mb-c10.txt,6173.83,6030578.21
1005-test-1mb-c10.txt,6224.09,6079673.83
1005-test-1mb-c10.txt,6313.53,6167036.27
1005-test-1mb-c10.txt,6193.75,6050038.56
1005-test-1mb-c10.txt,6225.6,6081149.96
1005-test-1mb-c10.txt,6642.44,6488318.43
1005-test-1mb-c10.txt,6391.98,6243667.94
1005-test-1mb-c10.txt,6184.67,6041170.6
1005-test-1mb-c10.txt,6349.57,6202239.33
1005-test-1mb-c10.txt,6362.86,6215222.99
1005-test-1mb-c10.txt,6380.64,6232592.81
1005-test-1mb-c10.txt,6699.4,6543957.3
1005-test-1mb-c10.txt,6151.12,6008395.51
1005-test-1mb-c10.txt,6713.53,6557752.28
1005-test-1mb-c10.txt,6174.33,6031062.26
1005-test-1mb-c10.txt,6832.05,6673522.91
1005-test-1mb-c10.txt,6580.85,6428156.01
1005-test-10mb-c10.txt,679.31,6634011.05
1005-test-10mb-c10.txt,691.61,6754179.46
1005-test-10mb-c10.txt,670.03,6543457.27
1005-test-10mb-c10.txt,685.0,6689660.9
1005-test-10mb-c10.txt,688.02,6719126.96
1005-test-10mb-c10.txt,691.36,6751704.6
1005-test-10mb-c10.txt,673.07,6573141.76
1005-test-10mb-c10.txt,687.87,6717634.09
1005-test-10mb-c10.txt,675.42,6596014.59
1005-test-10mb-c10.txt,695.06,6787877.1
1005-test-10mb-c10.txt,680.68,6647381.77
1005-test-10mb-c10.txt,662.19,6466853.97
1005-test-10mb-c10.txt,666.51,6509016.39
1005-test-10mb-c10.txt,648.81,6336152.61
1005-test-10mb-c10.txt,680.43,6644952.89
1005-test-10mb-c10.txt,693.67,6774307.02
1005-test-10mb-c10.txt,685.15,6691118.44
