Index,ipv6-ml-single-function-3rd-10mb-c32.txt,ipv6-ml-single-function-2nd-1mb-c32.txt,ipv6-ml-2nd-1mb-c32.txt,ipv6-3rd-100kb-c32.txt,ipv6-ml-single-function-1mb-c10.txt,ipv6-2nd-10mb-c32.txt,ipv6-1st-10mb-c32.txt,ipv6-2nd-1mb-c32.txt,ipv6-ml-single-function-2nd-10mb-c32.txt,ipv6-3rd-10mb-c32.txt,ipv6-1st-1mb-c32.txt,ipv6-single-function-100kb-c32.txt,vanilla-100kb-c100.txt,ipv6-single-function-2nd-1mb-c32.txt,ipv6-single-function-1mb-c32.txt,ipv6-single-function-2nd-100kb-c32.txt,ipv6-ml-1mb-c100.txt,ipv6-ml-3rd-1mb-c32.txt,vanilla-2nd-1mb-c32.txt,vanilla-10mb-c10.txt,ipv6-ml-single-function-3rd-1mb-c32.txt,ipv6-single-function-2nd-10mb-c32.txt,ipv6-2nd-100kb-c32.txt,ipv6-single-function-3rd-10mb-c32.txt,ipv6-ml-2nd-10mb-c32.txt,ipv6-ml-single-function-3rd-100kb-c32.txt,vanilla-2nd-100kb-c32.txt,ipv6-single-function-3rd-1mb-c32.txt,ipv6-ml-100kb-c10.txt,ipv6-1st-100kb-c32.txt,vanilla-100kb-c10.txt,ipv6-ml-single-function-100kb-c10.txt,vanilla-2nd-10mb-c32.txt,ipv6-ml-3rd-100kb-c32.txt,ipv6-ml-single-function-100kb-c100.txt,vanilla-1mb-c10.txt,ipv6-ml-single-function-10mb-c10.txt,ipv6-3rd-1mb-c32.txt,ipv6-ml-10mb-c100.txt,vanilla-3rd-1mb-c32.txt,ipv6-4th-100kb-c32.txt,ipv6-ml-single-function-10mb-c100.txt,vanilla-3rd-100kb-c32.txt,ipv6-ml-100kb-c100.txt,ipv6-ml-10mb-c10.txt,ipv6-ml-1mb-c10.txt,ipv6-ml-single-function-1mb-c100.txt,vanilla-10mb-c100.txt,ipv6-ml-3rd-10mb-c32.txt,vanilla-1mb-c100.txt,vanilla-3rd-10mb-c32.txt,ipv6-single-function-10mb-c32.txt,ipv6-4th-1mb-c32.txt,ipv6-single-function-3rd-100kb-c32.txt,ipv6-ml-2nd-100kb-c32.txt,ipv6-4th-10mb-c32.txt,ipv6-ml-single-function-2nd-100kb-c32.txt
0,535.74,2682.37,1786.05,4520.94,2848.65,414.18,412.54,2787.44,537.08,413.59,2663.19,4780.16,4656.58,3150.56,3038.26,4415.52,1708.56,1960.11,3195.92,814.43,3237.46,542.6,4481.57,535.63,356.86,4676.11,4663.18,3177.76,4181.56,4415.34,4549.63,4118.36,538.72,4593.71,4419.05,3221.73,589.03,2829.79,351.67,3393.13,4517.43,372.56,4906.46,4324.7,421.75,2062.96,2933.85,534.05,315.76,3145.85,538.76,534.93,2469.11,4820.53,4362.2,392.53,4240.54
1,528.74,3184.09,2261.46,4600.47,3125.04,398.54,416.85,2872.55,537.03,402.55,2779.06,4805.59,4742.75,3222.67,3234.16,4886.03,1664.26,1913.02,3432.3,844.48,3153.85,543.0,4650.77,530.7,284.2,4721.46,4825.32,3359.52,4534.65,4485.49,4827.49,4630.98,537.36,4314.36,4721.21,3307.1,593.43,2633.53,343.86,3357.99,4399.84,533.27,5039.33,4490.59,420.02,2353.93,3156.11,535.17,294.24,3290.39,536.67,542.9,2581.94,4829.21,4598.27,375.31,4703.74
2,531.54,3190.25,2216.09,4520.49,3046.62,409.49,426.27,2752.54,535.43,410.31,2754.12,4934.76,4915.43,3264.99,3201.5,4750.23,1678.42,1880.71,3369.36,852.13,3211.69,541.8,4360.68,538.89,385.73,4769.1,4984.05,3093.75,4615.57,4516.24,4789.66,4668.58,536.96,4372.83,4621.05,3379.75,602.68,2902.98,338.66,3401.74,4307.52,606.52,4905.52,4571.34,419.06,2211.41,3158.57,536.77,318.9,3317.32,537.8,543.63,2558.82,4791.52,4621.88,390.85,4810.86
3,537.74,3231.94,1765.41,4571.26,3187.75,406.74,410.75,2541.52,582.16,401.33,2624.44,4866.01,4846.44,3309.71,3108.96,4745.93,1617.79,1702.52,3371.43,864.1,3211.43,532.19,4492.99,541.48,357.83,4800.95,5009.89,3159.67,4492.73,4646.82,4861.14,4705.93,537.39,4316.91,4671.0,3227.48,593.47,2877.74,349.2,3348.74,4356.33,528.6,4920.02,4520.8,420.59,2254.83,3212.01,539.01,250.57,3221.08,537.77,366.76,2555.73,5014.32,4612.33,394.76,4581.42
4,524.68,3229.74,1739.92,4463.75,3166.28,413.71,407.45,2861.58,535.04,404.78,2936.35,4635.29,5066.5,3331.77,3059.35,4796.35,1599.47,1954.78,3296.35,840.32,2762.82,542.22,4636.33,614.6,337.38,4662.14,5001.75,3138.42,4293.39,4623.66,4837.48,4607.62,539.66,4694.79,4576.3,3243.13,592.92,2880.71,344.51,3282.92,4414.47,528.91,4925.43,4594.22,405.16,2364.85,3097.18,543.37,179.89,3324.94,540.31,541.3,2592.53,4762.0,4772.54,377.35,4941.98
5,509.06,3128.7,1635.11,4638.18,3176.94,412.84,411.8,2777.75,538.47,415.61,2903.66,4663.77,4661.64,3245.74,3098.85,4721.73,2100.13,2116.96,3427.69,843.43,2819.96,543.44,4515.92,544.1,346.77,4232.77,4985.99,3078.32,4543.62,4568.17,4806.72,4557.97,535.27,4591.09,4816.33,3281.85,588.19,2965.44,354.06,3320.02,4483.28,532.33,4820.09,4595.1,409.52,2192.13,3023.68,537.62,348.66,3289.15,541.77,539.95,2488.86,4349.81,4531.69,387.86,4695.56
6,532.6,3279.52,1649.93,4466.98,3132.87,415.46,405.53,2682.9,536.6,405.51,2998.51,4719.1,4818.67,3260.14,3170.15,4822.14,2207.75,1592.0,2870.86,852.86,2829.95,542.93,4672.33,525.95,271.25,4550.89,4877.43,3135.78,4493.45,4444.13,4784.96,4489.1,534.68,4283.57,4758.53,3283.6,598.76,2770.84,342.3,3358.84,4372.58,533.79,4846.96,4547.79,407.37,2287.56,2992.09,541.42,276.28,3292.26,536.92,536.34,2354.53,4875.2,4609.29,391.54,4629.74
7,370.58,3121.14,2132.18,4597.17,3190.24,386.97,415.96,2497.9,536.07,418.59,2781.38,4599.73,4823.44,3280.83,3198.62,4734.71,1655.34,1519.5,3370.77,854.64,2791.36,542.31,4298.12,369.38,319.37,4465.6,4893.49,3055.51,4587.96,4607.72,4892.49,4517.57,538.74,4409.75,4698.92,3370.79,600.63,2783.08,344.56,3351.64,4349.57,538.72,5008.29,4545.12,410.37,2190.09,3132.0,538.14,274.81,3213.3,539.01,370.54,2377.28,4656.79,4521.53,388.39,4816.35
8,369.14,3149.62,1938.65,4361.99,3060.36,381.12,420.75,2511.76,537.05,408.83,2962.3,4705.53,4908.6,3268.95,3203.71,4822.95,1807.94,1592.81,3468.79,865.78,3284.07,542.65,4380.22,535.12,317.17,4796.58,4796.83,3252.1,4552.82,4599.14,4805.31,4450.95,536.34,4298.69,4674.38,3257.0,548.6,2836.61,315.84,3402.99,4452.3,529.19,4871.63,4508.04,409.81,2171.03,2818.46,544.51,341.52,3352.97,538.27,527.56,2439.17,4652.22,4557.74,352.8,4745.5
9,537.04,3113.84,1606.74,4704.16,2900.29,387.82,404.4,2492.44,527.3,409.91,2639.47,4635.23,4955.72,3185.61,3273.53,4919.86,2243.17,1884.63,3363.39,859.75,3116.06,542.88,4451.61,593.23,334.59,4808.73,5011.65,3099.57,4481.09,4580.14,4837.91,4281.17,538.1,4423.39,4389.3,3214.03,553.46,2678.9,337.7,3362.0,4466.3,528.52,4976.88,4551.14,409.82,2201.01,2590.71,537.82,319.11,3298.33,537.55,537.27,2498.43,4753.76,4708.87,388.15,4802.68
10,518.28,3245.42,2154.21,4463.17,2826.29,382.54,412.03,2405.64,538.36,393.34,2729.05,4677.51,4709.89,3271.22,3192.82,4789.34,1625.76,1919.15,3409.59,838.24,2806.81,542.66,4435.08,535.35,276.13,4438.84,4922.35,2905.62,4427.95,4727.69,4944.74,4039.26,535.7,4693.29,4159.08,3366.36,546.84,2775.5,328.99,3419.41,4190.47,535.33,4779.86,4199.7,393.57,2054.39,2686.86,544.49,330.76,3300.71,538.27,527.21,2532.31,4580.31,4577.83,383.27,4654.91
