Index,ipv6-ml-single-function-3rd-10mb-c32.txt,ipv6-ml-single-function-2nd-1mb-c32.txt,ipv6-ml-2nd-1mb-c32.txt,ipv6-3rd-100kb-c32.txt,ipv6-ml-single-function-1mb-c10.txt,ipv6-2nd-10mb-c32.txt,ipv6-1st-10mb-c32.txt,ipv6-2nd-1mb-c32.txt,ipv6-ml-single-function-2nd-10mb-c32.txt,ipv6-3rd-10mb-c32.txt,ipv6-1st-1mb-c32.txt,ipv6-single-function-100kb-c32.txt,vanilla-100kb-c100.txt,ipv6-single-function-2nd-1mb-c32.txt,ipv6-single-function-1mb-c32.txt,ipv6-single-function-2nd-100kb-c32.txt,ipv6-ml-1mb-c100.txt,ipv6-ml-3rd-1mb-c32.txt,vanilla-2nd-1mb-c32.txt,vanilla-10mb-c10.txt,ipv6-ml-single-function-3rd-1mb-c32.txt,ipv6-single-function-2nd-10mb-c32.txt,ipv6-2nd-100kb-c32.txt,ipv6-single-function-3rd-10mb-c32.txt,ipv6-ml-2nd-10mb-c32.txt,ipv6-ml-single-function-3rd-100kb-c32.txt,vanilla-2nd-100kb-c32.txt,ipv6-single-function-3rd-1mb-c32.txt,ipv6-ml-100kb-c10.txt,ipv6-1st-100kb-c32.txt,vanilla-100kb-c10.txt,ipv6-ml-single-function-100kb-c10.txt,vanilla-2nd-10mb-c32.txt,ipv6-ml-3rd-100kb-c32.txt,ipv6-ml-single-function-100kb-c100.txt,vanilla-1mb-c10.txt,ipv6-ml-single-function-10mb-c10.txt,ipv6-3rd-1mb-c32.txt,ipv6-ml-10mb-c100.txt,vanilla-3rd-1mb-c32.txt,ipv6-4th-100kb-c32.txt,ipv6-ml-single-function-10mb-c100.txt,vanilla-3rd-100kb-c32.txt,ipv6-ml-100kb-c100.txt,ipv6-ml-10mb-c10.txt,ipv6-ml-1mb-c10.txt,ipv6-ml-single-function-1mb-c100.txt,vanilla-10mb-c100.txt,ipv6-ml-3rd-10mb-c32.txt,vanilla-1mb-c100.txt,vanilla-3rd-10mb-c32.txt,ipv6-single-function-10mb-c32.txt,ipv6-4th-1mb-c32.txt,ipv6-single-function-3rd-100kb-c32.txt,ipv6-ml-2nd-100kb-c32.txt,ipv6-4th-10mb-c32.txt,ipv6-ml-single-function-2nd-100kb-c32.txt
0,5231966.86,2620039.09,1744551.06,442402.99,2782453.69,4044768.73,4028766.69,2722671.01,5245078.37,4039052.51,2601311.02,467769.51,455676.11,3077351.49,2967659.79,432086.89,1668857.05,1914562.17,3121658.02,7953547.68,3162234.6,5298938.54,438550.68,5230893.54,3485012.38,457587.43,456322.08,3103921.27,409192.94,432069.72,445210.81,403008.24,5261020.49,449524.07,432432.49,3146871.28,5752383.46,2764036.96,3434304.89,3314287.7,442059.25,3638327.3,480128.58,423199.61,4118714.86,2015025.94,2865678.56,5215486.92,3083687.03,3072753.07,5261471.16,5224015.68,2411732.38,471720.09,426869.62,3833387.63,414964.21
1,5163544.47,3110108.14,2208913.03,450185.84,3052424.63,3892071.86,4070889.23,2805800.46,5244534.73,3931237.61,2714484.1,470257.94,464108.96,3147784.0,3159013.04,478129.85,1625585.06,1868563.75,3352543.92,8247078.21,3080564.01,5302874.74,455108.16,5182770.54,2775409.3,462025.06,472188.99,3281452.36,443745.1,438934.27,472400.98,453171.27,5247775.67,422188.09,462001.06,3230252.24,5795340.71,2572339.66,3358036.1,3279964.78,430552.69,5207796.77,493131.11,439432.95,4101816.89,2299235.85,3082771.04,5226366.89,2873535.19,3213937.03,5241041.82,5301858.48,2521943.04,472569.8,449970.55,3665168.63,460290.81
2,5190927.65,3116120.88,2164592.42,442359.0,2975824.1,3998975.93,4162927.02,2688579.64,5228921.79,4007048.83,2690119.81,482898.31,481006.51,3189119.99,3127104.73,464840.89,1639420.86,1837009.5,3291071.43,8321732.02,3137057.62,5291086.51,426720.7,5262696.03,3766988.45,466687.55,487721.52,3021865.63,451663.2,441943.45,468699.3,456850.42,5243889.84,427909.33,452199.6,3301215.6,5885684.05,2835522.19,3307248.02,3322698.37,421518.86,5923166.78,480036.72,447335.57,4092455.75,2160021.03,3085176.11,5242037.72,3114348.34,3240239.35,5252093.75,5308983.38,2499363.29,468881.21,452281.11,3816945.63,470773.76
3,5251435.7,3156838.36,1724387.31,447327.39,3113677.27,3972155.84,4011324.88,2482466.48,5685309.77,3919347.8,2563455.42,476170.86,474255.44,3232807.44,3036718.9,464419.53,1580199.01,1662961.42,3293090.83,8438647.33,3136805.76,5197284.31,439667.9,5287992.29,3494484.85,469804.15,490250.47,3086248.41,439642.22,454721.15,475694.03,460505.25,5248021.02,422437.78,457087.28,3152487.81,5795694.96,2810871.15,3410223.78,3270925.16,426295.01,5162226.14,481456.16,442388.99,4107446.21,2202438.09,3137369.98,5263856.22,2447009.05,3146232.7,5251797.18,3581707.79,2496348.3,490683.13,451346.55,3855162.06,448321.35
4,5123976.16,3154697.25,1699493.81,436806.48,3092707.65,4040172.06,3979056.88,2795089.73,5225097.36,3952969.58,2868118.8,453593.49,495789.46,3254349.36,2988260.28,469353.48,1562299.44,1909360.03,3219753.27,8206439.51,2698622.38,5295269.44,453694.44,6002086.66,3294780.13,456219.97,489453.54,3065491.45,420136.21,452454.68,473379.06,450884.87,5270227.89,459415.62,447820.74,3167772.59,5790334.22,2813769.99,3364431.33,3206635.67,431983.88,5165210.4,481984.97,449573.64,3956726.9,2309898.48,3025216.25,5306418.86,1756803.31,3247683.92,5276597.91,5286231.93,2532286.48,465991.95,467023.87,3685089.86,483604.71
5,4971353.96,3055996.37,1597117.74,453875.41,3103122.53,4031765.54,4021561.46,2713202.28,5258572.87,4058744.85,2836189.1,456379.54,456171.05,3170322.47,3026847.45,462051.24,2051326.38,2067771.73,3348039.27,8236839.17,2754434.17,5307119.6,441911.52,5313561.82,3386528.53,414203.67,487911.2,3006795.93,444622.15,447024.96,470368.7,446026.57,5227343.22,449268.16,471308.86,3205593.82,5744185.22,2896534.8,3457709.63,3242874.98,438717.81,5198675.95,471676.89,449660.4,3999301.83,2141189.78,2953419.24,5250348.73,3404971.9,3212721.35,5290839.98,5273070.71,2431024.27,425657.13,443455.53,3787745.63,459491.12
6,5201275.87,3203312.55,1611592.53,437122.58,3060074.91,4057346.94,3960377.34,2620559.26,5240352.8,3960125.2,2928835.38,461793.94,471538.24,3184389.37,3096492.13,471877.04,2156449.21,1555004.56,2804149.17,8328928.7,2764193.4,5302154.97,457217.56,5136302.8,2649008.6,445334.4,477287.98,3062915.25,439713.34,434886.61,468239.54,439286.98,5221593.99,419175.18,465652.68,3207299.02,5847349.01,2706451.26,3342880.35,3280791.05,427885.01,5212931.22,474306.01,445030.61,3978304.76,2234405.52,2922560.84,5287422.55,2698134.36,3215756.98,5243467.51,5237840.09,2299820.52,477069.25,451049.05,3823678.23,453049.59
7,3619061.35,3048613.82,2082633.99,449862.98,3116110.94,3779128.42,4062156.82,2439859.7,5235211.93,4087909.25,2716749.1,450113.36,472004.5,3204594.71,3124294.05,463322.28,1616874.64,1484190.64,3292447.02,8346304.39,2726501.4,5296151.06,420598.49,3607324.09,3118934.61,436987.89,478859.84,2984507.58,448961.04,450895.26,478761.44,442073.23,5261193.38,431522.89,459819.3,3292469.21,5865608.25,2718412.51,3364864.88,3273764.57,425633.06,5261006.32,490093.33,444769.68,4007640.81,2139196.79,3059221.92,5255383.63,2683769.65,3138630.15,5263870.4,3618614.8,2322039.69,455697.33,442461.0,3792990.24,471311.13
8,3604984.44,3076430.7,1893602.4,426849.14,2989247.95,3721937.16,4108991.24,2453391.05,5244729.08,3992565.48,2893471.59,460466.25,480338.33,3192987.69,3129268.69,471956.7,1765932.35,1555797.14,3388187.63,8455020.03,3207762.47,5299410.11,428632.82,5225869.07,3097446.37,469375.99,469400.76,3176529.21,445522.96,450055.4,470230.82,435554.41,5237764.25,420654.54,457418.46,3181319.38,5357493.77,2770693.53,3084455.49,3323919.54,435686.28,5167982.05,476720.64,441140.56,4002137.22,2120582.6,2752966.91,5317592.17,3335244.88,3275059.84,5256693.39,5152021.7,2382489.88,455250.01,446004.21,3445340.21,464377.65
9,5244630.49,3041484.65,1569400.8,460331.95,2832898.79,3787396.02,3949343.95,2434526.48,5149549.52,4003092.0,2578137.99,453587.18,484949.21,3111584.37,3197461.29,481439.58,2191050.35,1840838.57,3285237.98,8396204.66,3043654.99,5301682.9,435618.4,5793332.95,3267555.19,470565.48,490422.46,3027551.09,438503.52,448196.09,473420.28,418940.09,5255021.66,432857.13,429520.84,3139346.37,5404983.65,2616649.0,3297935.61,3283879.45,437056.2,5161429.47,487020.02,445358.72,4002278.28,2149870.74,2530508.61,5252297.13,3116415.51,3221686.08,5249614.93,5246910.09,2440371.75,465185.61,460793.66,3790568.42,469973.37
